sp,dmax,Latin,pft,ba,total_ba_per_pft,ba_fraction,Ruger_PFT_1axis,PFT_2axes,wd,LLP
zantpr,400,Zanthoxylum acuminatum,LD_DT,1.04590685807093,334.726714184617,0.003124659053935,1,2,0.609,FALSE
ingape,420.5,Inga pezizifera,LD_DT,0.915787359130336,334.726714184617,0.002735925518706,1,2,0.606,FALSE
allops,303.5,Allophylus psilospermus,LD_DT,0.850356874695724,334.726714184617,0.00254045117602,1,2,0.513,FALSE
nectgl,443.166666666667,Nectandra lineata,LD_DT,0.842997382051436,334.726714184617,0.002518464605088,1,2,0.572,FALSE
apeiti,439.166666666667,Apeiba tibourbou,LD_DT,0.808784236535314,334.726714184617,0.002416252430002,1,2,0.2,FALSE
solaha,233.333333333333,Solanum hayesii,LD_DT,0.500902353560242,334.726714184617,0.001496451679336,1,2,0.422,FALSE
ingapu,425.666666666667,Inga punctata,LD_DT,0.484534118148461,334.726714184617,0.001447551383309,1,2,0.56,FALSE
ficuto,487.833333333333,Ficus tonduzii,LD_DT,0.192961452909732,334.726714184617,0.00057647461267,2,5,0.424,FALSE
ingaco,301.166666666667,Inga cocleensis,LD_DT,0.165730639338819,334.726714184617,0.000495122236486,1,2,0.581,FALSE
ficuin,1041.33333333333,Ficus insipida,LD_DT,0.022439610926429,334.726714184617,6.70386018668711E-05,1,2,0.377,FALSE
nects1,129,Nectandra fuzzy,LD_DT,0.012667686977438,334.726714184617,3.78448640058368E-05,1,2,0.572,FALSE
ficutr,1920.33333333333,Ficus aurea,LD_DT,0.00816971169566,334.726714184617,2.44071098883201E-05,NA,NA,NA,FALSE
ficupo,1647.33333333333,Ficus popenoei,LD_DT,0.007383528134099,334.726714184617,2.20583772409246E-05,NA,NA,NA,FALSE
pterof,163,Pterocarpus officinalis,LD_DT,0.005152997350051,334.726714184617,1.53946402593028E-05,1,2,0.38,FALSE
ficuc2,2444,Ficus costaricana,LD_DT,0.002998650187851,334.726714184617,8.95850274501116E-06,NA,NA,NA,FALSE
apeihy,489.5,Apeiba hybrid,LD_DT,0,334.726714184617,0,NA,NA,NA,FALSE
ficubu,216.166666666667,Ficus bullenei,LD_DT,0,334.726714184617,0,NA,NA,NA,FALSE
hirttr,475,Hirtella triandra,ST_DI,25.1418335338572,286.646082631187,0.087710368490212,3,1,0.683,FALSE
protte,570,Protium tenuifolium,ST_DI,18.9697939241246,286.646082631187,0.066178451664145,3,1,0.57,FALSE
guargu,576.166666666667,Guarea guidonia,ST_DI,15.8941426850491,286.646082631187,0.055448665263985,3,1,0.568,FALSE
oenoma,263,Oenocarpus mapora,ST_DI,10.1903369141774,286.646082631187,0.035550239586874,NA,NA,NA,FALSE
sloate,1492,Sloanea terniflora,ST_DI,6.07858718626288,286.646082631187,0.0212058965902,3,1,0.625,FALSE
chr2ca,1204.16666666667,Chrysophyllum cainito,ST_DI,5.9231621858311,286.646082631187,0.02066367742221,3,1,0.655,FALSE
protpa,364.166666666667,Protium panamense,ST_DI,3.77346245453953,286.646082631187,0.013164186371926,3,1,0.452,FALSE
cassel,427.166666666667,Cassipourea elliptica,ST_DI,3.70576985730109,286.646082631187,0.012928032447836,3,1,0.637,FALSE
elaeol,644,Elaeis oleifera,ST_DI,3.29207131075499,286.646082631187,0.011484794351754,NA,NA,NA,FALSE
cou2cu,204.833333333333,Coussarea curvigemmia,ST_DI,2.98642024187617,286.646082631187,0.010418493127355,3,1,0.618,FALSE
cupasy,225.166666666667,Cupania seemannii,ST_DI,1.83989985087695,286.646082631187,0.006418716188228,3,1,0.609,FALSE
ast1st,220.833333333333,Astrocaryum standleyanum,ST_DI,1.39456675121378,286.646082631187,0.004865117075429,NA,NA,NA,FALSE
geniam,532.666666666667,Genipa americana,ST_DI,1.12769021533016,286.646082631187,0.003934085562862,3,1,0.632,FALSE
sympgl,847,Symphonia globulifera,ST_DI,1.01632255852187,286.646082631187,0.003545565839215,1,2,0.6,FALSE
ormoma,760.833333333333,Ormosia macrocalyx,ST_DI,0.963147141799844,286.646082631187,0.003360056879058,3,1,0.59,FALSE
laetth,188.666666666667,Laetia thamnia,ST_DI,0.896082755768724,286.646082631187,0.003126094546778,2,4,0.66,FALSE
casesy,278.5,Casearia sylvestris,ST_DI,0.832071657081838,286.646082631187,0.00290278398171,2,5,0.703,FALSE
myrofr,607.166666666667,Myrospermum frutescens,ST_DI,0.45928749418605,286.646082631187,0.0016022807288,2,5,0.83,FALSE
ingafa,490.166666666667,Inga laurina,ST_DI,0.423149404561413,286.646082631187,0.001476208572876,2,5,0.653,FALSE
aegipa,209.666666666667,Aegiphila panamensis,ST_DI,0.262945021920158,286.646082631187,0.000917315944131,2,4,0.657,FALSE
ery2ma,204,Erythroxylum macrophyllum,ST_DI,0.24486255301164,286.646082631187,0.000854233034563,2,4,0.71,FALSE
cuparu,354.833333333333,Cupania rufescens,ST_DI,0.238685643449138,286.646082631187,0.00083268412831,3,1,0.609,FALSE
psidfr,240,Psidium friedrichsthalianum,ST_DI,0.173810694453188,286.646082631187,0.000606359915537,3,1,0.81,FALSE
myrcga,254.666666666667,Myrcia gatunensis,ST_DI,0.08721689524896,286.646082631187,0.000304266831238,2,5,0.814,FALSE
hirtam,354.666666666667,Hirtella americana,ST_DI,0.086034975111992,286.646082631187,0.000300143557945,2,5,0.782,FALSE
amaico,246.833333333333,Amaioua corymbosa,ST_DI,0.06076389970757,286.646082631187,0.000211982313345,2,5,0.625,FALSE
cupaci,180.833333333333,Cupania cinerea,ST_DI,0.021741391959168,286.646082631187,7.58475111873121E-05,2,5,0.5,FALSE
alsebl,981.666666666667,Alseis blackiana,ST_DT,80.7186268259113,573.677937161453,0.140703732176464,3,1,0.536,FALSE
tri2tu,990.666666666667,Trichilia tuberculata,ST_DT,70.2268454054809,573.677937161453,0.122415105857063,3,1,0.628,FALSE
faraoc,240.5,Faramea occidentalis,ST_DT,64.2753187544262,573.677937161453,0.11204077164351,3,1,0.588,FALSE
tet2pa,802,Tetragastris panamensis,ST_DT,30.8149775724167,573.677937161453,0.053714768472514,3,1,0.717,FALSE
drypst,704.166666666667,Drypetes standleyi,ST_DT,14.816935671994,573.677937161453,0.02582796846835,3,1,0.675,FALSE
aspicr,1120.33333333333,Aspidosperma spruceanum,ST_DT,13.2168419765646,573.677937161453,0.023038783819997,3,1,0.753,FALSE
pla1pi,884,Platymiscium pinnatum,ST_DT,8.57197493940912,573.677937161453,0.014942138060639,2,5,0.721,FALSE
swars1,400.166666666667,Swartzia simplex,ST_DT,8.23844416932283,573.677937161453,0.014360747791847,3,1,0.844,FALSE
gar2in,270,Garcinia intermedia,ST_DT,6.81897396363636,573.677937161453,0.011886414871342,3,1,0.662,FALSE
randar,286.333333333333,Randia armata,ST_DT,4.72057048824316,573.677937161453,0.008228607346485,3,1,0.668,FALSE
maquco,260.333333333333,Maquira guianensis,ST_DT,4.29516735004546,573.677937161453,0.007487070831585,3,1,0.766,FALSE
cordla,282,Cordia lasiocalyx,ST_DT,4.15220208245681,573.677937161453,0.007237862594127,2,5,0.397,FALSE
chr2ar,564.833333333333,Chrysophyllum argenteum,ST_DT,4.09522987377581,573.677937161453,0.007138552153564,3,1,0.765,FALSE
eugeco,487.833333333333,Eugenia coloradoensis,ST_DT,2.7142763734103,573.677937161453,0.004731359178358,2,5,0.726,FALSE
eugene,510.166666666667,Eugenia nesiotica,ST_DT,2.30026367612915,573.677937161453,0.004009677777589,3,1,0.726,FALSE
ingaqu,220.666666666667,Inga nobilis,ST_DT,2.15307234398975,573.677937161453,0.003753102925037,2,5,0.56,FALSE
macrgl,635.333333333333,Macrocnemum roseum,ST_DT,1.63317709082111,573.677937161453,0.002846853582869,3,1,0.45,FALSE
guetfo,383.5,Guettarda foliacea,ST_DT,1.42394436141213,573.677937161453,0.002482131992835,3,1,0.725,FALSE
eugega,271.166666666667,Eugenia galalonensis,ST_DT,1.25813167343607,573.677937161453,0.002193097541212,3,1,0.726,FALSE
picrla,265.5,Picramnia latifolia,ST_DT,1.25593626129163,573.677937161453,0.002189270634158,2,4,0.584,FALSE
ocotce,362.5,Ocotea cernua,ST_DT,1.16498647689027,573.677937161453,0.002030732579075,2,5,0.454,FALSE
licapl,1034.16666666667,Licania platypus,ST_DT,0.971068272684378,573.677937161453,0.001692706324892,2,5,0.62,FALSE
andiin,298,Andira inermis,ST_DT,0.937665335592143,573.677937161453,0.00163448038499,3,1,0.642,FALSE
tropra,377.166666666667,Trophis racemosa,ST_DT,0.733654914337745,573.677937161453,0.001278862000459,3,1,0.659,FALSE
caseac,231.5,Casearia aculeata,ST_DT,0.624621998485028,573.677937161453,0.00108880254586,3,1,0.66,FALSE
gar2ma,264.5,Garcinia madruno,ST_DT,0.612350438391523,573.677937161453,0.001067411519121,2,4,0.727,FALSE
posola,381.333333333333,Posoqueria latifolia,ST_DT,0.54091679883498,573.677937161453,0.000942892804125,3,1,0.57,FALSE
licahy,336.333333333333,Licania hypoleuca,ST_DT,0.425364901292602,573.677937161453,0.000741469862685,3,1,0.909,FALSE
coccco,270.666666666667,Coccoloba coronata,ST_DT,0.360693729935216,573.677937161453,0.000628739065197,3,1,0.672,FALSE
